model,scenario,Project_study,version,Ssp_family,Category
AIM/CGE 2.2,ADVANCE_WP2_IND-450-FullTech,ADVANCE Sector Studies,3.0,2.0,no-climate-assessment
AIM/CGE 2.2,ADVANCE_WP2_IND-Base-FullTech,ADVANCE Sector Studies,3.0,2.0,no-climate-assessment
AIM/CGE 2.2,ADVANCE_WP2_TRA-450-FullTech,ADVANCE Sector Studies,3.0,,no-climate-assessment
AIM/CGE 2.2,ADVANCE_WP2_TRA-Base-FullTech,ADVANCE Sector Studies,3.0,,no-climate-assessment
AIM/CGE 2.2,ADVANCE_WP2_TRA-Ctax-FullTech,ADVANCE Sector Studies,3.0,,no-climate-assessment
AIM/CGE 2.2,EN_INDCi2030_1000f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_INDCi2030_1200,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_INDCi2030_1200f,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_INDCi2030_1400,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_INDCi2030_1400f,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_INDCi2030_1600,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_INDCi2030_1600f,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_INDCi2030_1800,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_INDCi2030_1800f,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_INDCi2030_800f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_INDCi2030_900f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_INDCi2100,ENGAGE,3.0,2.0,C6
AIM/CGE 2.2,EN_NPi2020_1000,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_1000f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_1200,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_1200f,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_NPi2020_1400,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_NPi2020_1400f,ENGAGE,3.0,2.0,C4
AIM/CGE 2.2,EN_NPi2020_1600,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_NPi2020_1600f,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_NPi2020_1800,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_NPi2020_1800f,ENGAGE,3.0,2.0,C5
AIM/CGE 2.2,EN_NPi2020_300f,ENGAGE,3.0,2.0,C1
AIM/CGE 2.2,EN_NPi2020_400f,ENGAGE,3.0,2.0,C2
AIM/CGE 2.2,EN_NPi2020_500f,ENGAGE,3.0,2.0,C2
AIM/CGE 2.2,EN_NPi2020_600,ENGAGE,3.0,2.0,C1
AIM/CGE 2.2,EN_NPi2020_600f,ENGAGE,3.0,2.0,C2
AIM/CGE 2.2,EN_NPi2020_700,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_700f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_800,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_800f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_900,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2020_900f,ENGAGE,3.0,2.0,C3
AIM/CGE 2.2,EN_NPi2100,ENGAGE,3.0,2.0,C7
ALADIN 1.0,Baseline,,3.0,,
ALADIN 1.0,PR_WWH_Electro100,,3.0,,
ALADIN 1.0,PR_WWH_Hydrogen100,,3.0,,
C3IAM 1.0,SSP1_BAU,Wei 2018,4.0,1.0,failed-vetting
C3IAM 1.0,SSP2_BAU,Wei 2018,4.0,2.0,failed-vetting
C3IAM 1.0,SSP3_BAU,Wei 2018,4.0,3.0,failed-vetting
COFFEE 1.1,CO_2Deg2020,COMMIT,4.0,2.0,C4
COFFEE 1.1,CO_2Deg2030,COMMIT,4.0,2.0,C4
COFFEE 1.1,CO_BAU,COMMIT,4.0,2.0,C7
COFFEE 1.1,CO_Bridge,COMMIT,4.0,2.0,C3
COFFEE 1.1,CO_CurPol,COMMIT,4.0,2.0,C6
COFFEE 1.1,CO_GPP,COMMIT,4.0,2.0,C5
COFFEE 1.1,CO_NDCplus,COMMIT,5.0,2.0,C6
COFFEE 1.1,EN_INDCi2030_1000,ENGAGE,5.0,2.0,C4
COFFEE 1.1,EN_INDCi2030_1000_COV_NDCp,ENGAGE,5.0,2.0,failed-vetting
COFFEE 1.1,EN_INDCi2030_1000_NDCp,ENGAGE,5.0,2.0,C4
COFFEE 1.1,EN_INDCi2030_1000f,ENGAGE,5.0,2.0,C5
COFFEE 1.1,EN_INDCi2030_1000f_COV_NDCp,ENGAGE,5.0,2.0,failed-vetting
COFFEE 1.1,EN_INDCi2030_1000f_NDCp,ENGAGE,5.0,2.0,failed-vetting
COFFEE 1.1,EN_INDCi2030_1200,ENGAGE,5.0,2.0,C4
COFFEE 1.1,EN_INDCi2030_1200f,ENGAGE,5.0,2.0,C5
COFFEE 1.1,EN_INDCi2030_1400,ENGAGE,5.0,2.0,C5
COFFEE 1.1,EN_INDCi2030_1400f,ENGAGE,5.0,2.0,C5
COFFEE 1.1,EN_INDCi2030_1600,ENGAGE,5.0,2.0,C5
