variable,scenario,region,weighted_avg_energy_per_capita_uncorrected,unit
Final Energy|Residential and Commercial,SDP_EI-1p5C,Countries of Latin America and the Caribbean,14.170267073810962,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,Countries of South Asia; primarily India,10.128702619289944,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,Countries of Sub-Saharan Africa,8.636350755234375,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,Countries of centrally-planned Asia; primarily China,19.00349958759488,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",24.0510358044869,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,"Eastern and Western Europe (i.e., the EU28)",21.008622792594995,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,North America; primarily the United States of America and Canada,32.12653038994573,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,Other countries of Asia,17.48261909506179,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,Pacific OECD,20.349725591763697,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_EI-1p5C,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,29.860972104642805,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Countries of Latin America and the Caribbean,10.20782933330204,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Countries of South Asia; primarily India,7.39027402691856,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Countries of Sub-Saharan Africa,6.300601991392002,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Countries of centrally-planned Asia; primarily China,12.785660812352042,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",15.998819030006892,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,"Eastern and Western Europe (i.e., the EU28)",15.223889800473108,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,North America; primarily the United States of America and Canada,24.821276365630453,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Other countries of Asia,11.694429767981607,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Pacific OECD,15.20310181429613,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_MC-1p5C,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,21.57750160644944,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_RC-1p5C,Countries of Latin America and the Caribbean,9.120972706424537,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_RC-1p5C,Countries of South Asia; primarily India,7.05672176764369,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_RC-1p5C,Countries of Sub-Saharan Africa,6.159458706635253,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_RC-1p5C,Countries of centrally-planned Asia; primarily China,11.411153778235288,GJ/cap/yr
Final Energy|Residential and Commercial,SDP_RC-1p5C,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",15.042558835347721,GJ/cap/yr
